"","StartStationID","EndStationID","Gender","BirthDecade"
"158","3203","3186","2","80s"
"159","3213","3186","1","90s"
"160","3187","3186","1","60s"
"161","3214","3202","1","80s"
"162","3202","3275","2","60s"
"163","3275","3202","2","70s"
"164","3202","3267","2","70s"
"165","3267","3275","2","70s"
"166","3275","3276","1","70s"
"167","3276","3186","1","70s"
"168","3186","3276","1","80s"
"169","3276","3186","1","60s"
"170","3186","3267","1","60s"
"171","3267","3267","1","70s"
"172","3276","3202","1","70s"
"173","3202","3199","1","80s"
"174","3199","3187","1","80s"
"175","3187","3202","1","70s"
"176","3202","3206","1","90s"
"177","3206","3275","1","80s"
"178","3275","3203","1","80s"
"179","3203","3211","1","90s"
"180","3211","3192","1","60s"
"181","3192","3209","2","80s"
"182","3209","3203","2","80s"
"183","3203","3184","2","80s"
"184","3184","3184","2","70s"
"185","3184","3214","1","60s"
"186","3214","3267","1","80s"
"187","3267","3183","1","80s"
"188","3183","3199","1","80s"
"189","3199","3202","1","80s"
"190","3186","3276","1","80s"
"191","3276","3209","1","60s"
"192","3209","3186","1","60s"
"193","3267","3184","1","80s"
"194","3184","3185","1","90s"
"195","3186","3192","2","80s"
"196","3192","3183","1","70s"
"197","3183","3213","1","70s"
"198","3213","3184","1","90s"
"199","3184","3214","1","80s"
"200","3214","3199","1","70s"
"201","3199","3185","2","70s"
"202","3185","3192","1","80s"
"203","3192","3205","2","70s"
"204","3185","3202","1","80s"
"205","3183","3214","1","80s"
"206","3214","3185","1","80s"
"207","3185","3211","2","80s"
"208","3225","3211","1","80s"
"209","3188","3184","1","70s"
"210","3184","3187","1","80s"
"211","3187","3186","1","60s"
"212","3186","3270","1","70s"
"213","3270","3273","2","80s"
"214","3273","3270","1","70s"
"215","3270","3186","1","60s"
"216","3186","3213","1","80s"
"217","3213","3186","1","90s"
"218","3184","3183","2","80s"
"219","3183","3267","1","80s"
"220","3267","3183","1","80s"
"221","3183","3184","1","70s"
"222","3184","3202","1","80s"
"223","3209","3273","2","90s"
"224","3273","3203","1","80s"
"225","3184","3270","1","70s"
"226","3186","3278","1","60s"
"227","3278","3186","2","90s"
"228","3192","3268","1","80s"
